SalePrice,num_rooms,n_baths,square_meters,neighborhood
280000,3.0,1.0,70.0,Gracia
245000,1.0,1.0,42.0,Gracia
235000,4.0,1.0,70.0,Gracia
398000,3.0,2.0,80.0,Gracia
445000,2.0,2.0,84.0,Gracia
297500,3.0,2.0,57.0,Gracia
265000,4.0,1.0,87.0,Gracia
260000,3.0,1.0,65.0,Gracia
215000,2.0,1.0,50.0,Gracia
260000,1.0,1.0,51.0,Gracia
215000,2.0,1.0,50.0,Gracia
298000,2.0,1.0,53.0,Gracia
380000,2.0,2.0,77.0,Gracia
950000,3.0,2.0,158.0,Gracia
232000,2.0,1.0,57.0,Gracia
169000,2.0,1.0,68.0,Gracia
380000,3.0,1.0,90.0,Gracia
380000,3.0,2.0,80.0,Gracia
480000,4.0,3.0,108.0,Gracia
380000,4.0,2.0,90.0,Gracia
